threads,duration,bandwidth
237,0.225523,70.9465
238,0.227354,70.3758
239,0.228465,70.0404
240,0.226631,70.6043
241,0.230272,69.4832
242,0.230212,69.5041
243,0.231111,69.2352
244,0.231052,69.2489
245,0.234582,68.2092
246,0.23424,68.3075
247,0.234854,68.132
248,0.236703,67.5995
249,0.237346,67.4168
250,0.236815,67.5669
251,0.238173,67.182
252,0.238458,67.1092
253,0.240918,66.4152
254,0.239781,66.7332
255,0.241131,66.3544
256,0.242431,66.0019
